Comment,Actual_Sentiment,Predicted_Sentiment
proses aktivasi akun sulit,0,0
tapi aplikasi efektif pantau aman,1,0
tidak masuk menunggu email no telepon tidak masuk notifikasi capek banget aplikasi perintah ken mudah beban,0,0
ampun deh verifikasi ya allah,0,0
mengira bikin saja tidak kampung nyata saja kampung pleas lah bikin regulasi bikin saja anak rantau tidak mengeluarkan biaya bintang ubah kalau sudah bikin wilayah tidak domisili sekian terima kasih,0,0
aplikasi jelek,0,0
kode verifikasi daftar saja tidak terus aplikasi,0,0
aplikasi bagus bantu mudah hubung proses hemat manfaat,1,1
sulit ampun,0,0
tidak jelas aplikasi sudah email benar password benar tidak bisa masuk tidak jelas,0,0
tidak bikin mudah mudah sulit aduh,0,0
daftar tidak niat pakai apa tapi tidak juga kalau gini paksa saja urus padahal yang ringkas dan cepat,0,0
anak tak aplikasi email tidak kirim kirim tidak bikin aplikasi maksa bikin ya aplikasi rusak,0,0
tidak gangguan syarat penuh jaring stabil,0,0
aplikasi bagus mudah gunain fitur fiturnya bantu banget tampil tarik simpel banget urus online,1,1
aplikasi jelek daftar saja sulit kode verifikasi tidak muncul email detik email masuk parah aplikasi,0,0
aplikasi waras nyata ampir layan gangguan unduh mending buang pantesan inimah aplikasi berita layan wkwkwwkkwk,0,0
aplikasi bagus manfaat ringan file bagus,1,1
bantu masyarakat,1,1
kali oke mengirim otp tidak padahal sinyal bagus tolong karena aplikasi syarat utama bikin,0,0
tidak bisa masuk sulit dapat kode verifikasi email opsi,0,0
gangguan koneksi lancar,0,0
aplikasi jelek lambat tidak,0,0
aplikasi mudah fitur ringan,1,1
aplikasi manual,0,0
sudah online layan tetap,0,0
maju,1,1
maaf ribu maaf tidak daftar aplikasi proses prosedur terima kasih,0,0
puas,1,1
invalid data,0,0
aplikasi tidak tolong ya aparat yang hormat kalau memang tidak tidak luncurin aplikasi ambil mengurus wakil nyata tidak daerah wakil kait bilang tidak tembak saja duit ya,0,0
aplikasi tidak sayang makan anggar negara saran masuk terima kasih,0,0
aplikasi menyusahkan orang saja,0,0
admin tidak respon bikin aplikasi ambil untung doang biar bayar negara habis mangkrak korupsi kedok aplikasi,0,0
manfaat,1,1
aplikasi yang ui mudah manfaat banget mengecek kendara isi survey mantap deh,1,1
tidak jelas,0,0
tidak daftar,0,0
mantaaaap mudah,1,1
layan aktif daftar akun tidak verifikasi,0,0
tidak akses aplikasi tidak niat mudah masyarakat,0,0
payah isi bagus data saja gagal mulu niat bikin aplikasi layan masyarakat tidak,0,0
miris komplain wifi lancar buka saja oke gilir identifikasi tidak kasih bintang mohon tidak hapus,0,0
jelek aplikasi kode verifikasi email tidak langsung kirim,0,0
aplikasi mudah banget gunain lumayan bantu bikin surat surat,1,1
sulit,0,0
aplikasi lambat sulit isi data,0,0
mudah diperibet,0,1
aplikasi tidak fungsi perintah,0,0
aplikasi bagus tidak gangguan,1,0
tidak efektif,0,0
aplikasi bagus bantu moga kembang,1,1
update verifikasi email tidak muncul buang,0,0
tolong mudah aplikasi sulit email yang kirim verifikasi,0,0
bagus oke,1,1
aplikasi tidak urus isi form,0,0
tolong aplikasi akun tidak verifikasi isi data,0,0
tolong aplikasi perhati kesiap aplikasi tersebut sistem web bagus aplikasi mudah nyata sulit mengurus sulit buka aplikasi verifikasi sulit menunggu bebra kali menunggu lusa selesai verifikasi aplikasi lambat,0,0
aplikasi bagus bantu ringan,1,1
daftar tidak bisa ya,0,0
gangguan mulu,0,0
bantu,1,1
akun tidak bisa karena email verifikasi tidak masuk sudah coba kali tetap saja tidak bisa tidak ada email verifikasi masuk,0,0
urus daring murah banding offlen ke daring direject angus biaya tes psikologi hubung mau exp paksa offlen,1,1
aplikasi tidak kirim email,0,0
daftar saja sulit banget kode verifikasi tidak masuk email beberapa kali coba,0,0
ya allah aplikasi bagaimana sih ken nang banget gagal mulu ya allah tolong kalau aplikasi dulu jangan kudu wajib aplikasi,0,0
tidak verifikasi,0,0
aplikasi bagus,1,1
kadang gangguan,0,0
aplikasi kode verifikasi tidak muncul kalau aplikasi tidak dukung,0,0
aplikasi mudah bayar adu masyarakat online aplikasi saja mantap banget,1,1
nyata wilayah pasuruan bayar ambil layan aplikasi bantu yang urus domisili mantap,1,1
aplikasi kalau pakai surat desa urus pol yang beda sistim bayar,0,0
sulit lambat aplikasi,0,0
tidak jlas ngisi data tidak temu aneh,0,0
sulit proses lambat,0,0
jelek banget tidak buka aplikasi,0,0
aplikasi mantap fitur ringan handphone mudah mendownload aplikasi ukur aplikasi ringan kualitas,1,1
aplikasi mudah cocok ringan menu juga mudah paham bantu sip,1,1
tidak kirim verifikasi email sulit,0,0
tolong aplikasi daftar sulit banget ulang kode email tidak masuk sama sangat sudah ulang coba sudah cek spam tidak,0,0
aplikasi layan tingkat aplikasi,1,1
tidak akun,0,0
aplikasi tidak layak pakai verifikasi email tidak tidak email masuk,0,0
mengira sistem online mudah proses layan nyata kesini sono saja lambat abad sinyal ful kuota sudah benar seperti saja proses manual biar mengantri yang langsung online tidak tidak,0,0
tidak bantu rantau,0,0
jelek kode verifikasi bilang salah hedeh,0,0
layan tidak profesional bayar lunas ambil blanko habis oper suruh bayar tidak aplikasi,0,0
aplikasi sulit bantu bikin sulit mending seperti pakai web saja jago tuh seperti mana bikin sistem saja tidak,0,0
bagus pakai aplikasi sayang sulit bikin saja gagal,0,0
aplikasi ringan tidak makan memori mudah rekomendasi,1,1
bagaimana ya daftar menunggu verifikasi tidak,0,0
aplikasi mudah konfirmasi bayar menit,1,1
maaf gangguan sulit daftar daring mohon,0,0
tidak bantu,0,0
aplikasi mudah bantu urus surat mudah ukur aplikasi ringan tidak sulit sih lancar,1,1
tidak daftar masuk tidak muncul kode verifikasi mohon,0,0
aplikasi tidak update data haaadeh,0,0
oke bantu maju jaya,1,1
tidak aplikasi aplikasi sulit mudah,0,0
kok sulit unduh ya,0,0
mudah nyata saja mengurus dokumen bagus perayaratan fisik aplikasi online,0,1
ulang ulang kode otp tidak muncul muncul sudah menunggu tidak,0,0
online online separoh separoh tetap datang mah tidak usah online,0,0
aplikasi bagus urus ukur tidak banget lumayan tidak makan simpan,1,1
online aplikasi harap ya cepat mudah laku bayar ambil nyata ngisi data laga wajib bayar pas bilang isi data bayar aplikasi bilang isi data bu wajib bayar bayar aplikasi tidak tau uang uang pergi kali bayar,0,0
kecewa sudah menunggu email tidak masuk masuk,0,0
aplikasi mudah pitur ya ringgan wajib coba sih,1,1
aplikasi lawak,0,1
kerja mengapai ya kode otp kali saja tidak muncul,0,0
aplikasi bagus tinggal kembang biar bagus,1,1
layan ramah,1,1
aplikasi mengurus mudah hemat tidak antri syarat mudah upload aplikasi,1,1
aplikasi bantu mudah mengurus aplikasi tidak berat rekomendasi banget pokok,1,1
tidak banget daftar kode otp email tidak muncul,0,0
kode verifikasi lambat kirim,0,0
astaga daftar akun saja,0,0
tidak bagus data gagal,0,0
mudah cepat,1,1
desain jelek lambat,0,0
aplikasi sangat bantu urus surat kendara aplikasi mudah,1,1
memberika layan yang bagus bantu hilir digital indonesia mantap,1,1
aplikasi jelek tidak verifikasi kode verifikasi tidak kirim,0,0
maaf daftar akun tidak tidak code verifikasi email program script yang salah terima kasih,0,0
lumayan bagus,1,1
sulit menu bayar gangguan tugas tidak tanggap suruh menunggu alas server padat coba malam saja tidak tidak solusi tugas masyarakat butuh cepat mengurus tidak selesai gara aplikasi,0,0
aplikasi tidak muas bikin saja gagal lupa password saja tidak pilih kalau aplikasi beres launching gangguan hambat masyarakat tidak barcode macam mending offline mudah tidak sulit,0,0
serba online sulit aplikasi kalau website mudah tidak lambat memakai aplikasi bikin kesal doang sudah isi data bikin pas bayar tidak simpan data aneh banget tolong bagaimana sdm maju,0,0
bikin online pas besok ambil tetap suruh ngisi data terus suruh lagi besok jadi tidak efisien,0,0
layan sudah tahap aju eh pas bayar gangguan,0,0
verifikasi,0,0
bantu,0,1
aplikasi lambat,0,0
aplikasi mudah simpan ringan,1,1
aplikasi keren bantu masyarakat,1,1
tes sehat tolong online tidak rs bayangkaraya tak gedung promoter lant aju online hemat luang tes sehat bayar tes kesahatan tolong online psikotes total tidak transfer pakai nasional emas paket kirim layan,0,0
aplikasi bagus sayang tidak,1,0
minim akses verifikasi no tidak muncul email pribadi,0,0
aplikasi bantu urus online,1,1
tidak kode verifikasi,0,0
daftar saja mati bikin selesai tidak daftar kode verifikasi yang tidak kunjung kecewa,0,0
orang kerja buang sistem jelek,0,0
tetap saja smuanya harus datang langsung ke jadi nih aplikasi,0,0
kali isi online selesai tidak tidak feedback,0,0
kode verifikasi banget,0,0
keren apa bantu mudah tangan surat surat tampil antarmuka stylish modern proses cepat efisien pilih praktis selesai urus surat surat,1,1
servernya lambat verifikasi yang daftar sulit,0,0
aplikasi mudah jalan lokasi rawan tahan fiturnya,1,1
aplikasi tidak,0,0
aplikasi hancur sudah bayar pos tidak kirim kirim tidak sok sok pakai digital server tidak helpdesk saban pending mulu bubarin saja deh kalau memang bikin sulit rumah dekat enak entar alas tugas bangkai memang,0,0
tidak bayar online tidak aplikasi,0,0
aplikasi jelek sempurna,0,0
daftar terang nomor identitas daftar ngeri,0,0
lambat banget gangguan ngelengkapi data identitas saja tidak sudah coba kali kali internet lancat banget sempe kesal mohon,0,0
admin tidak bantu samsek,0,0
aplikasi bagaimana ya sudah mencoba verifikasi data ganggu internet lancar ganggu solusi bagaimana ya min,0,0
aplikasi user friendly mudah informatif,1,1
tidak masuk,0,0
good bantu,1,1
aduh sudah memakai email yang tetap tidak masuk notifikasi seperti sulit saja aduh pusing,0,0
tidak respon layan masyarakat bagus bicara merespon tidak cepat percaya masyarakat aparat negara nama layan masyarakat,0,0
aplikasi jelek banget verifikasi data tidak,0,0
gangguan mulu,0,0
aplikasi bagus mudah,1,1
kalau tidak mending tidak aplikasi lambat masuk data tidak masuk,0,0
aplikasi mudah mudah erti ukir aplikasi ringan fitur fiturnya ringan bantu mudah lapor,1,1
fiturnya bagus pakai aplikasi mudah,1,1
ngisi data aplikasi kalau ujung tetap ngulang tidak anter,0,0
sudah minggu belum status bayar hasil saja bertanya helpdesk tidak bantu mau cek saja offline proses refund uang tidak bertanya hd tidak,0,0
maksimal gangguan,0,0
verifikasi data saja sulit nomor persis pemberitahuan invalid request mohon bantu karena urus online,0,0
aplikasi sangag bantu fitur fitur bagus,1,1
jos salam,1,1
daftar akun masuk email tidak email kodenya aplikasi jelek banget kerja benar aplikasinya parah banget sudah menunggu kode kunjung,0,0
layan jelek pakai aplikasi jalan akun saja lambat verifikasi email mending perbaiki aplikasi nyuruh masyarakat pakai menyusahkan saja mengasih bintang tolol banget,0,0
niat tidak bikin aplikasi saja sulit terus sudah gangguan memasuki foto begitu saja terus sampai kiamat komentar rupa maaf doang tidak,0,0
sudah menunggu kode verifikasi tidak muncul muncul,0,0
bantu masyarakat,1,1
beli sayur online ganti nama,0,0
cepat manfaat,1,1
aplikasi jelek salah mulu pas kirim data data,0,0
mudah sulit ofline saja gaya gaya,0,0
oke,1,1
tidak layan,0,0
aplikasi wangel tenan,0,1
tidak foto aplikasi ambil foto cepat lihat gambar putih doang bagaimana tolong perbaiki lah optimal aplikasi ui ux jelek,0,0
tau aplikasi seperti gini info yang mudah paham fitur ringan manfaat tahan,1,1
sangat bantu,1,1
bintang tidak bisa verifikasi identitas,0,0
daftar mendapatkan kode verifikasi banget tidak masuk,0,0
tidak bantu asik salah server saja,0,0
verifikasi sulit suruh foto fokus hancur developer aplikasi bego,0,0
aplikasi tidak sampah aplikasi jalan lancar bayar aman laku offline ambil karcis suruh bawa fotokopi dokumen foto lucu suruh bawa print screenshoot email bukti daftar pakai aplikasi alam jelek aplikasi online konyol gelitik aplikasi,0,0
jelek,0,0
aplikasi,0,1
kode otp lambat ngulang aplikasi kali yang rapi masyarakat yang buka mohon rapihkan sistem,0,0
masuk online rekomendasi mudah paham aplikasi,1,1
sulit masyarakat kirim kode email saja lambat tulis eh bilang salah bikin sulit masyarakat aplikasi urus hambat bikin sulit masyarakat,0,0
verifikasi lambat respon tunggu konfirmasi verifikasi saja telfon admin,0,0
tolong apa masak daftar saja sulit code tidak masuk email kalau sulit seperti gini bagus tidak pakai aplikasi,0,0
sudah bayar tidak ada notifikasi bagaimana aplikasi jelek,0,0
isi alahir dapta notifikasi cek live chat tidak yang balas,0,0
aplikasi busuk belum edar kode verifikasi tidak masuk masuk sudah ganti ganti email tidak dapat kode verifikasi,0,0
payah nih aplikasi bikin emosi saja,0,0
lambat web fungsi ngisi data ya suruh ngisi data bagus aplikasi garus ngisi isi data lambat server batas layan,0,0
kali hubung admin aplikasi gangguan saja tidak aplikasi kecewa,0,0
jelek ya,0,0
sistem dong verif online gangguan terus gagal upload foto gangguan mulu berapa padahal aplikasi lcr jaring juga lcr saja,0,0
untuj ambil langsung tidak wewenangnya aplikasi tera kalau ambil tedekat alamat sesuai waru,0,0
kacaw aplikasi bikin emosi sudah verifikasi tidak masuk email,0,0
kirim verifikasi lambat banget kburu habis email baru masuk mending tidak pakai aplikasi sklian,0,0
gaguna sudah daftar online disuru manual pas deh sampai,0,0
kabil tugas bilang tidak offline online suruh offline,0,0
otp tidak masuk masuk email,0,0
aplikasi mohon tidak fungsi,0,0
verif email tidak masuk,0,0
aplikasi tidak ada yang benar,0,0
